time,open,high,low,close,Buy Signal,Sell Signal,Volume,Volume MA
1354406400,12.44,13.01,12.24,12.59,NaN,NaN,12390.405816909999,8287.356444051502
1354665600,12.86,13.59,12.63,13.37,NaN,NaN,11176.505365340001,8456.720603895003
1354924800,13.3,13.4,13.03,13.3,NaN,NaN,8140.72262558,8531.080839020502
1355184000,13.13,13.52,13.05,13.52,NaN,NaN,11826.55226655,9044.480944282002
1355443200,13.51,13.94,13.27,13.27,NaN,NaN,8699.38686645,9106.882876552501
1355702400,13.28,13.62,12.75,13.4,NaN,NaN,15624.01517649,9281.5030955625
1355961600,13.27,13.44,13.11,13.2,NaN,NaN,5296.103663950001,9212.383859399002
1356220800,13.2,13.29,13.01,13.24,NaN,NaN,3165.95513804,8938.563410622002
1356480000,13.09,13.29,12.91,13.18,NaN,NaN,9772.29164439,9146.298612337503
1356739200,13.18,13.29,13.05,13.24,NaN,NaN,2937.46244101,8914.922608543502
1356998400,13.24,13.26,12.77,13.19,NaN,NaN,7278.750185999999,8975.826596051
1357257600,13.12,13.24,12.84,13.15,NaN,NaN,4617.35244555,8561.2855432875
1357516800,13.1,13.65,13.04,13.58,NaN,NaN,14661.791005160001,8977.003908376
1357776000,13.67,14.19,13.5,13.89,NaN,NaN,8370.63661742,9177.405241980001
1358035200,13.94,14.32,13.5,14.2,NaN,NaN,10854.493363739999,9178.046360947501
1358294400,14.15,15.7,14.01,15.57,NaN,NaN,17413.510858550002,9746.950456203002
1358553600,15.52,16.98,15.32,16.52,NaN,NaN,9055.93590203,9399.523586503503
1358812800,16.53,19.2,16,17.29,NaN,NaN,23561.08279177,10348.820248753502
1359072000,17.15,17.72,16.12,17.6,NaN,NaN,10207.033581,10229.486958508502
1359331200,17.6,19.85,17.48,19.45,NaN,NaN,12443.66667809,10374.682721701003
1359590400,19.45,21,19.27,19.82,NaN,NaN,14029.670435810001,10456.645952646002
1359849600,19.76,20.7,19.57,20.5,NaN,NaN,10179.680482549998,10406.8047085065
1360108800,20.56,22.63,20.33,22.4,NaN,NaN,12533.502527100001,10626.443703582501
1360368000,22.4,23.94,22.24,23.94,NaN,NaN,7307.2376351,10400.477972010001
1360627200,23.94,27.5,22.42,27.4,NaN,NaN,24560.378091109997,11193.527533243003
1360886400,27.4,27.58,25.25,26.98,NaN,NaN,13869.53277193,11105.803413015003
1361145600,26.81,30.07,26.29,30,NaN,NaN,16476.98693123,11664.847576379003
1361404800,30,31.49,27.67,29.54,NaN,NaN,13624.16255759,12187.757947356502
1361664000,29.55,32,29.08,31.1,NaN,NaN,8227.527941600001,12110.519762217004
1361923200,31.01,34.75,30.45,34.55,NaN,NaN,13561.84456949,12641.738868641003
1362182400,34.55,37,33.6,36.52,NaN,NaN,9430.44294361,12749.323506521505
1362441600,36.56,49.17,33,41.68,NaN,NaN,33033.69312045,14170.140540266506
1362700800,41.68,47,40.56,45.29,NaN,NaN,9470.07711973,13910.554845995004
1362960000,45.97,48.38,36,46.99,NaN,NaN,17886.71597552,14386.358813900006
1363219200,46.99,47.97,46.58,46.74,NaN,NaN,5501.20716352,14118.694503889006
1363478400,46.7,60,46.7,59.41,NaN,NaN,16331.00122522,14064.569022222504
1363737600,59.46,76.91,58.86,69.9,NaN,NaN,23873.27046395,14805.435750318506
1363996800,68.81,80,50.09,75.11,NaN,NaN,24918.89440202,14873.326330831007
1364256000,74.3,97,74.3,88.52,NaN,NaN,22644.934059059997,15495.221354734007
1364515200,88.96,96.15,84,96.15,NaN,NaN,10461.755390440001,15396.125790351507
1364774400,95.5,158.41,93.7,133.78,NaN,NaN,27985.692773939998,16093.926907258006
1365033600,133.87,150.03,119,141,NaN,NaN,18329.7479739,16501.430281825506
1365292800,141,235.29,140.65,229,NaN,NaN,31360.06446788,17442.758378864506
1365552000,228.94,259.34,45,109.9,NaN,NaN,87191.26389946,21436.959692082506
1365811200,109.9,119,60,74,NaN,NaN,42186.545189590004,22318.26804700651
1366070400,73.99,111.23,49.8,109.3,NaN,NaN,83088.47013044,25779.21491493201
1366329600,109.3,140.2,100,118.81,NaN,NaN,50161.85706793,27463.458421767013
1366588800,118.91,161,116,149,NaN,NaN,41300.27036065,28847.263811920013
1366848000,150,170.28,123.2,128.8,NaN,NaN,33941.08786998,30132.941808339016
1367107200,128.8,151.65,121.57,139.88,NaN,NaN,24087.28481701,30659.213820715016
1367366400,139.87,140.3,81.5,98.08,NaN,NaN,69693.60017396,33672.371682232515
1367625600,98.08,123.97,94,112.71,NaN,NaN,42195.625468950006,34130.468299657514
1367884800,112.67,116.29,98.77,111.96,NaN,NaN,29928.901704429998,35153.40952889252
1368144000,111.96,119.98,109.2,114.5,NaN,NaN,18538.94312036,35186.020886134516
1368403200,115.05,117.9,101.72,108.95,NaN,NaN,26446.56736822,36233.288896369515
1368662400,108.96,118.55,108.35,118.49,NaN,NaN,21143.3534597,36473.90650809351
1368921600,118.49,118.98,114.03,117.5,NaN,NaN,12997.926041059998,35930.139286949016
1369180800,117.25,129.94,117,128.7,NaN,NaN,30681.98220739,36218.293677217516
1369440000,128.65,130.6,120.33,126.25,NaN,NaN,16476.581679479998,35909.876058238515
1369699200,126.2,131,123,126.81,NaN,NaN,25451.953173460002,36659.38594738951
1369958400,126.78,129.87,117.02,123,NaN,NaN,24178.56268139,36469.02944276201
1370217600,123.35,125.01,116.32,121.2,NaN,NaN,21559.17789716,36630.500938925004
1370476800,120.98,121.33,107,109.11,NaN,NaN,28253.4613807,36475.170784566006
1370736000,109.11,110,90,107.36,NaN,NaN,49505.41063385,34590.87812128551
1370995200,107.35,111.18,95,99.01,NaN,NaN,26358.31306069,33799.466514840504
1371254400,99.01,105,96.22,100,NaN,NaN,12118.90836621,30250.988426629006
1371513600,100.39,108.18,99.99,102.61,NaN,NaN,25446.80450537,29015.235798501002
1371772800,103,104.86,90,100.41,NaN,NaN,17659.38127842,27833.1913443895
1372032000,100.4,102.3,95,98.77,NaN,NaN,19937.14796566,27132.994349173496
